source_act,amended_act,carrier_article,carrier_section,provision_type,mechanism,screening_confidence,intermediary_validated,matched_pattern,matched_keyword,evidence_text
32018R2067,,,,recital,auditoria,low,0,\bassurance\b,assurance,"In accordance with the principles of Annex V to Directive 2003/87/EC, the verifier should apply a risk-based approach with the aim of reaching a verification opinion providing reasonable assurance that the total emissions or tonne-kilometres are not materially misstated and the report can be verified as satisfactory. The level of assurance should relate to the depth and detail of verification activities carried out during the verification and the wording of the verification opinion statement. If"
32018R2067,,,,recital,reportar,low,0,\breport\b,report,"To avoid entanglement between the role of the competent authority and the verifier, the responsibilities of a verifier when carrying out verification should be clearly defined. The verifier should take the monitoring plan approved by the competent authority as a reference point and assess whether this plan and the procedures described in this plan have been implemented correctly. Where the verifier identifies non-compliance with Implementing Regulation (EU) 2018/2066, it should be the responsibi"
32018R2067,,,,recital,auditoria,high,0,verification (team|report|body),verification report,"To avoid entanglement between the role of the competent authority and the verifier, the responsibilities of a verifier when carrying out verification should be clearly defined. The verifier should take the monitoring plan approved by the competent authority as a reference point and assess whether this plan and the procedures described in this plan have been implemented correctly. Where the verifier identifies non-compliance with Implementing Regulation (EU) 2018/2066, it should be the responsibi"
32018R2067,,,,recital,reportar,low,0,\breport\b,report,"Full understanding of the activities of an operator or an aircraft operator is necessary for the performance of an effective verification of an operator's or aircraft operator's report. A verifier should only perform the requested verification activities after it has ascertained following a preliminary assessment that it is competent to do so. In the pursuit of a high-quality level of verification activities, harmonised rules should be developed for a preliminary assessment to determine whether "
32018R2067,,,,recital,reportar,low,0,\breport\b,report,All verification activities in the verification process are interconnected and should be concluded with the issuance of a verification report by the verifier containing a verification statement that is commensurate with the outcome of the verification assessment. Harmonised requirements for the verification reports and the performance of the verification activities should be established to ensure that verification reports and verification activities in the Member States meet the same standards.
32018R2067,,,,recital,auditoria,high,0,verification (team|report|body),verification report,All verification activities in the verification process are interconnected and should be concluded with the issuance of a verification report by the verifier containing a verification statement that is commensurate with the outcome of the verification assessment. Harmonised requirements for the verification reports and the performance of the verification activities should be established to ensure that verification reports and verification activities in the Member States meet the same standards.
32018R2067,,,,recital,reportar,low,0,\breport\b,report,"Specific provision should be made for the verification of the report of aircraft operators and that of operators of sites, which are subject to Directive 2009/31/EC of the European Parliament and of the Council (10)."
32018R2067,,,,recital,auditoria,high,0,verification (team|report|body),verification report,"Verification activities and the issuance of verification reports should only be carried out by verifiers and their personnel that are competent. Verifiers should establish and continuously improve internal processes that ensure that all personnel involved in the verification activities are competent to perform the tasks entrusted to them. The criteria for determining whether a verifier is competent should be the same in all Member States and should be verifiable, objective and transparent."
32018R2067,,,,recital,certificacao,high,0,national accreditation bod(y|ies),national accreditation body,"The national accreditation body established pursuant to Regulation (EC) No 765/2008 should be empowered to accredit and issue an authoritative statement concerning the competence of a verifier to perform the verification activities pursuant to this Regulation, adopt administrative measures and carry out the surveillance of verifiers."
32018R2067,,,,recital,certificacao,high,0,national accreditation bod(y|ies),national accreditation body,A Member State that does not consider it economically meaningful or sustainable to establish a national accreditation body or to carry out accreditation activities should have recourse to the national accreditation body of another Member State. Only national accreditation bodies that have undergone a successful peer evaluation organised by the body recognised under Article 14 of Regulation (EC) No 765/2008 should be permitted to perform the accreditation activities pursuant to this Regulation.
32018R2067,,,,recital,certificacao,high,0,national accreditation bod(y|ies),National accreditation bodies,"National accreditation bodies that demonstrate conformity with this Regulation and that have already successfully undergone peer evaluation organised by the body recognised under Article 14 of Regulation (EU) No 765/2008 should be presumed to fulfil the procedural requirements imposed on national accreditation bodies such as requirements on the structure of a national accreditation body, setting up a competence process, setting up the necessary procedures and management system and arrangements t"
32018R2067,,,,recital,certificacao,high,0,national accreditation bod(y|ies),national accreditation bodies,"Effective cooperation between national accreditation bodies, or where applicable other national authorities, and competent authorities is essential for the proper functioning of the greenhouse gas emission allowance system and the supervision on the quality of verification. For reasons of transparency, it is necessary to ensure that the national accreditation bodies, or where applicable, other national authorities, and competent authorities establish effective means of information exchange. Info"
32018R2067,,,,recital,certificacao,low,0,\baccreditation\b,accreditation,"This Regulation includes improvements to accreditation and verification that partly take into account the First Edition of the International Standards and Recommended Practices on Environmental Protection — Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA) (Annex 16, Volume IV to the Chicago Convention) adopted by the ICAO Council at the tenth meeting of its 214th session on 27 June 2018. The Regulation on the monitoring and reporting of greenhouse gas emissions pursuant"
32018R2067,,Article 1,GENERAL PROVISIONS,article,certificacao,low,0,\baccreditation\b,accreditation,This Regulation lays down provisions for the verification of reports submitted pursuant to Directive 2003/87/EC and for the accreditation and supervision of verifiers.
32018R2067,,Article 1,GENERAL PROVISIONS,article,certificacao,high,0,national accreditation bod(y|ies),national accreditation bodies,"This Regulation also specifies, without prejudice to Regulation (EC) No 765/2008, provisions for the mutual recognition of verifiers and peer evaluation of national accreditation bodies pursuant to Article 15 of Directive 2003/87/EC."
32018R2067,,Article 2,GENERAL PROVISIONS,article,ranking_rating,low,0,\bbenchmark\w*,benchmarks,"This Regulation shall apply to the verification of greenhouse gas emissions and tonne-kilometre data occurring from 1 January 2019, reported pursuant to Article 14 of Directive 2003/87/EC, and to the verification of data relevant for the update of ex ante benchmarks and for the determination of free allocation to installations."
32018R2067,,Article 3,GENERAL PROVISIONS,article,reportar,low,0,\breport\b,report,"‘accreditation’ means attestation by a national accreditation body that a verifier meets the requirements set by harmonised standards, within the meaning of point 9 of Article 2 of Regulation (EC) No 765/2008, and requirements set out in this Regulation to carry out the verification of an operator's or aircraft operator's report pursuant to this Regulation;"
32018R2067,,Article 3,GENERAL PROVISIONS,article,certificacao,high,0,national accreditation bod(y|ies),national accreditation body,"‘accreditation’ means attestation by a national accreditation body that a verifier meets the requirements set by harmonised standards, within the meaning of point 9 of Article 2 of Regulation (EC) No 765/2008, and requirements set out in this Regulation to carry out the verification of an operator's or aircraft operator's report pursuant to this Regulation;"
32018R2067,,Article 3,GENERAL PROVISIONS,article,reportar,low,0,\breport\b,report,"‘verifier’ means a legal person or another legal entity carrying out verification activities pursuant to this Regulation and accredited by a national accreditation body pursuant to Regulation (EC) No 765/2008 and this Regulation or a natural person otherwise authorised, without prejudice to Article 5(2) of that Regulation, at the time a verification report is issued;"
32018R2067,,Article 3,GENERAL PROVISIONS,article,certificacao,high,0,national accreditation bod(y|ies),national accreditation body,"‘verifier’ means a legal person or another legal entity carrying out verification activities pursuant to this Regulation and accredited by a national accreditation body pursuant to Regulation (EC) No 765/2008 and this Regulation or a natural person otherwise authorised, without prejudice to Article 5(2) of that Regulation, at the time a verification report is issued;"
32018R2067,,Article 3,GENERAL PROVISIONS,article,auditoria,high,0,verification (team|report|body),verification report,"‘verifier’ means a legal person or another legal entity carrying out verification activities pursuant to this Regulation and accredited by a national accreditation body pursuant to Regulation (EC) No 765/2008 and this Regulation or a natural person otherwise authorised, without prejudice to Article 5(2) of that Regulation, at the time a verification report is issued;"
32018R2067,,Article 3,GENERAL PROVISIONS,article,reportar,low,0,\breport\b,report,‘verification’ means the activities carried out by a verifier to issue a verification report pursuant to this Regulation;
32018R2067,,Article 3,GENERAL PROVISIONS,article,auditoria,high,0,verification (team|report|body),verification report,‘verification’ means the activities carried out by a verifier to issue a verification report pursuant to this Regulation;
32018R2067,,Article 3,GENERAL PROVISIONS,article,reportar,low,0,\breport\b,report,"‘material misstatement’ means a misstatement that, in the opinion of the verifier, individually or when aggregated with other misstatements, exceeds the materiality level or could affect the treatment of the operator's or aircraft operator's report by the competent authority;"
32018R2067,,Article 3,GENERAL PROVISIONS,article,reportar,low,0,\breport\b,report,"‘operator's or aircraft operator's report’ means the annual emission report to be submitted by the operator or aircraft operator pursuant to Article 14(3) of Directive 2003/87/EC, the tonne-kilometre report to be submitted by the aircraft operator for the purposes of applying for the allocation of allowances pursuant to Articles 3e and 3f of that Directive, the baseline data report submitted by the operator pursuant to Article 4(2) of Delegated Regulation (EU) .../... or the data report submitte"
32018R2067,,Article 3,GENERAL PROVISIONS,article,certificacao,low,0,\baccreditation\b,accreditation,‘scope of accreditation’ means activities referred to in Annex I for which accreditation is sought or has been granted;
32018R2067,,Article 3,GENERAL PROVISIONS,article,reportar,low,0,\breport\b,report,"for the purposes of verifying an operator's emission report, any act or omission of an act by the operator that is contrary to the greenhouse gas emissions permit and the requirements in the monitoring plan approved by the competent authority;"
32018R2067,,Article 3,GENERAL PROVISIONS,article,reportar,low,0,\breport\b,report,"for the purposes of verifying an aircraft operator's emission or tonne-kilometre report, any act or omission of an act by the aircraft operator that is contrary to the requirements in the monitoring plan approved by the competent authority;"
32018R2067,,Article 3,GENERAL PROVISIONS,article,reportar,low,0,\breport\b,report,for the purposes of verifying the baseline data report submitted by the operator pursuant to Article 4(2)(a) of Delegated Regulation (EU) .../... or the new entrant data report submitted by the operator pursuant to Article 5(2) of that Regulation any act or omission of an act by the operator that is contrary to the requirements in the monitoring methodology plan;
32018R2067,,Article 3,GENERAL PROVISIONS,article,certificacao,low,0,\baccreditation\b,accreditation,"for the purposes of accreditation pursuant to Chapter IV, any act or omission of an act by the verifier that is contrary to the requirements of this Regulation;"
32018R2067,,Article 3,GENERAL PROVISIONS,article,reportar,low,0,\breport\b,report,"‘site’ means, for the purposes of verifying the emission or tonne-kilometre report of an aircraft operator, the locations where the monitoring process is defined and managed, including the locations where relevant data and information are controlled and stored;"
32018R2067,,Article 3,GENERAL PROVISIONS,article,reportar,low,0,\breport\b,report,"‘inherent risk’ means the susceptibility of a parameter in the operator's or aircraft operator's report to misstatements that could be material, individually or when aggregated with other misstatements, before taking into consideration the effect of any related control activities;"
32018R2067,,Article 3,GENERAL PROVISIONS,article,reportar,low,0,\breport\b,report,"‘control risk’ means the susceptibility of a parameter in the operator's or aircraft operator's report to misstatements that could be material, individually or when aggregated with other misstatements, and that will not be prevented or detected and corrected on a timely basis by the control system;"
32018R2067,,Article 3,GENERAL PROVISIONS,article,reportar,low,0,\breport\b,report,"‘verification risk’ means the risk, being a function of inherent risk, control risk and detection risk, that the verifier expresses an inappropriate verification opinion when the operator's or aircraft operator's report is not free of material misstatements;"
32018R2067,,Article 3,GENERAL PROVISIONS,article,reportar,low,0,\breport\b,report,"‘reasonable assurance’ means a high but not absolute level of assurance, expressed positively in the verification opinion, as to whether the operator's or aircraft operator's report subject to verification is free from material misstatement;"
32018R2067,,Article 3,GENERAL PROVISIONS,article,auditoria,low,0,\bassurance\b,assurance,"‘reasonable assurance’ means a high but not absolute level of assurance, expressed positively in the verification opinion, as to whether the operator's or aircraft operator's report subject to verification is free from material misstatement;"
32018R2067,,Article 3,GENERAL PROVISIONS,article,reportar,low,0,\breport\b,report,‘internal verification documentation’ means all internal documentation that a verifier has compiled to record all documentary evidence and justification of activities that are carried out for the verification of an operator's or aircraft operator's report;
32018R2067,,Article 3,GENERAL PROVISIONS,article,reportar,low,0,\breport\b,report,"‘EU ETS lead auditor’ means an EU ETS auditor in charge of directing and supervising the verification team, who is responsible for performing and reporting on the verification of an operator's or aircraft operator's report;"
32018R2067,,Article 3,GENERAL PROVISIONS,article,auditoria,high,0,(EU ETS )?(lead )?auditor,EU ETS lead auditor,"‘EU ETS lead auditor’ means an EU ETS auditor in charge of directing and supervising the verification team, who is responsible for performing and reporting on the verification of an operator's or aircraft operator's report;"
32018R2067,,Article 3,GENERAL PROVISIONS,article,reportar,low,0,\breport\b,report,‘EU ETS auditor’ means an individual member of a verification team responsible for conducting a verification of an operator's or aircraft operator's report other than the EU ETS lead auditor;
32018R2067,,Article 3,GENERAL PROVISIONS,article,auditoria,high,0,(EU ETS )?(lead )?auditor,EU ETS auditor,‘EU ETS auditor’ means an individual member of a verification team responsible for conducting a verification of an operator's or aircraft operator's report other than the EU ETS lead auditor;
32018R2067,,Article 3,GENERAL PROVISIONS,article,certificacao,low,0,\baccreditation\b,accreditation,‘technical expert’ means a person who provides detailed knowledge and expertise on a specific subject matter needed for the performance of verification activities for the purposes of Chapter III and for the performance of accreditation activities for the purposes of Chapter V;
32018R2067,,Article 3,GENERAL PROVISIONS,article,reportar,low,0,\breport\b,report,‘level of assurance’ means the degree of assurance the verifier provides on the verification report based on the objective of reducing the verification risk according to the circumstances of the verification engagement;
32018R2067,,Article 3,GENERAL PROVISIONS,article,auditoria,high,0,verification (team|report|body),verification report,‘level of assurance’ means the degree of assurance the verifier provides on the verification report based on the objective of reducing the verification risk according to the circumstances of the verification engagement;
32018R2067,,Article 3,GENERAL PROVISIONS,article,certificacao,high,0,national accreditation bod(y|ies),national accreditation body,‘assessor’ means a person assigned by a national accreditation body to perform individually or as part of an assessment team an assessment of a verifier pursuant to this Regulation;
32018R2067,,Article 3,GENERAL PROVISIONS,article,reportar,low,0,\breport\b,report,‘baseline data report’ means a report submitted by an operator pursuant to Article 4(2) of Delegated Regulation (EU) .../...;
32018R2067,,Article 3,GENERAL PROVISIONS,article,reportar,low,0,\breport\b,report,‘new entrant data report’ means a report submitted by an operator pursuant to Article 5(2) of Delegated Regulation (EU) .../....
32018R2067,,Article 5,GENERAL PROVISIONS,article,certificacao,low,0,\baccreditation\b,accreditation,General framework for accreditation
32018R2067,,Article 5,GENERAL PROVISIONS,article,certificacao,high,0,national accreditation bod(y|ies),national accreditation bodies,"Where no specific provisions concerning the composition of the national accreditation bodies or the activities and requirements linked to accreditation are laid down in this Regulation, the relevant provisions of Regulation (EC) No 765/2008 shall apply."
32018R2067,,Article 6,VERIFICATION,article,reportar,low,0,\breport\b,report,"A verified emissions report, baseline data report or new entrant data report shall be reliable for users. It shall represent faithfully that, which it either purports to represent or may reasonably be expected to represent."
32018R2067,,Article 6,VERIFICATION,article,reportar,low,0,\breport\b,report,"The process of verifying operator's or aircraft operator's report shall be an effective and reliable tool in support of quality assurance and quality control procedures, providing information upon which an operator or aircraft operator can act to improve performance in monitoring and reporting emissions or data relevant for free allocation."
32018R2067,,Article 6,VERIFICATION,article,auditoria,low,0,\bassurance\b,assurance,"The process of verifying operator's or aircraft operator's report shall be an effective and reliable tool in support of quality assurance and quality control procedures, providing information upon which an operator or aircraft operator can act to improve performance in monitoring and reporting emissions or data relevant for free allocation."
32018R2067,,Article 7,VERIFICATION,article,reportar,low,0,\breport\b,report,1. The verifier shall carry out the verification and the activities required by this Chapter with the aim of providing a verification report that concludes with reasonable assurance that the operator's or aircraft operator's report is free from material misstatements.
32018R2067,,Article 7,VERIFICATION,article,auditoria,high,0,verification (team|report|body),verification report,1. The verifier shall carry out the verification and the activities required by this Chapter with the aim of providing a verification report that concludes with reasonable assurance that the operator's or aircraft operator's report is free from material misstatements.
32018R2067,,Article 7,VERIFICATION,article,reportar,low,0,\breport\b,report,"2. The verifier shall plan and perform the verification with an attitude of professional scepticism, recognising that circumstances may exist that cause the information in the operator's or aircraft operator's report to contain material misstatements."
32018R2067,,Article 7,VERIFICATION,article,reportar,low,0,\breport\b,report,"the operator's or aircraft operator's report is complete and meets the requirements laid down in Annex X to Implementing Regulation (EU) 2018/2066 or in Annex IV to Delegated Regulation (EU) .../..., as appropriate;"
32018R2067,,Article 7,VERIFICATION,article,reportar,low,0,\breport\b,report,"the operator or aircraft operator has acted in compliance with the requirements of the greenhouse gas emissions permit and the monitoring plan approved by the competent authority, where the verification of an operator's emission report is concerned, and with the requirements of the monitoring plan approved by the competent authority, where the verification of an aircraft operator's emission or tonne-kilometre report is concerned;"
32018R2067,,Article 7,VERIFICATION,article,reportar,low,0,\breport\b,report,"where the verification of an operator's baseline data report or new entrant data report is concerned, the operator has acted in conformance with the requirements of the monitoring methodology plan pursuant to Article 8 of Delegated Regulation (EU) .../... approved by the competent authority;"
32018R2067,,Article 7,VERIFICATION,article,reportar,low,0,\breport\b,report,the data in the operator's or aircraft operator's report are free from material misstatements;
32018R2067,,Article 7,VERIFICATION,article,reportar,low,0,\breport\b,report,"By way of derogation from point (c), the verifier shall assess whether the operator's monitoring methodology plan is in compliance with the requirements of Delegated Regulation (EU) .../... where the monitoring methodology plan is not subject to approval of the competent authority prior to submission of the baseline data report. If the verifier discovers that a monitoring methodology plan does not comply with Delegated Regulation (EU) .../..., the operator shall modify the monitoring methodology"
32018R2067,,Article 7,VERIFICATION,article,reportar,low,0,\breport\b,report,"For the purpose of point (d) of this paragraph, the verifier shall obtain clear and objective evidence from the operator or aircraft operator to support the reported aggregated emissions, tonne-kilometres or data relevant for free allocation taking into account all other information provided in the operator's or aircraft operator's report."
32018R2067,,Article 7,VERIFICATION,article,reportar,low,0,\breport\b,report,"5. If the verifier discovers that an operator or an aircraft operator is not complying with Implementing Regulation (EU) 2018/2066 or with Delegated Regulation (EU) .../..., that irregularity shall be included in the verification report even if the monitoring plan or monitoring methodology plan concerned, as appropriate, has been approved by the competent authority."
32018R2067,,Article 7,VERIFICATION,article,auditoria,high,0,verification (team|report|body),verification report,"5. If the verifier discovers that an operator or an aircraft operator is not complying with Implementing Regulation (EU) 2018/2066 or with Delegated Regulation (EU) .../..., that irregularity shall be included in the verification report even if the monitoring plan or monitoring methodology plan concerned, as appropriate, has been approved by the competent authority."
32018R2067,,Article 7,VERIFICATION,article,reportar,low,0,\breport\b,report,"If the monitoring methodology plan is subject to the approval of the competent authority prior to submission of the baseline data report pursuant to Article 8(4) of Delegated Regulation (EU) .../... and the monitoring methodology plan has not been approved or is incomplete, or where significant modifications referred to in Article 9(5) of that Regulation have been made which have not been approved by the competent authority, the verifier shall advise the operator to obtain the necessary approval"
32018R2067,,Article 7,VERIFICATION,article,reportar,low,0,\bshall report\b,shall report,"If the approval has not been obtained before the issue of the verification report, the verifier shall report this in the verification report."
32018R2067,,Article 7,VERIFICATION,article,auditoria,high,0,verification (team|report|body),verification report,"If the approval has not been obtained before the issue of the verification report, the verifier shall report this in the verification report."
32018R2067,,Article 8,VERIFICATION,article,reportar,low,0,\breport\b,report,evaluate the risks involved to undertake the verification of the operator's or aircraft operator's report in accordance with this Regulation;
32018R2067,,Article 8,VERIFICATION,article,certificacao,low,0,\baccreditation\b,accreditation,assess whether the engagement falls within the scope of its accreditation;
32018R2067,,Article 8,VERIFICATION,article,auditoria,high,0,verification (team|report|body),verification team,"assess whether it has the competence, personnel and resources required to select a verification team capable of dealing with the complexity of the installation or the aircraft operator's activities and fleet as well as whether it is capable of successfully completing the verification activities within the timeframe required;"
32018R2067,,Article 8,VERIFICATION,article,auditoria,high,0,verification (team|report|body),verification team,"assess whether it is capable of ensuring that the potential verification team at its disposal holds all the competence, and persons required to carry out verification activities for that specific operator or aircraft operator;"
32018R2067,,Article 10,VERIFICATION,article,reportar,low,0,\breport\b,report,"the operator's greenhouse gas emissions permit, if this concerns the verification of an operator's emission report;"
32018R2067,,Article 10,VERIFICATION,article,reportar,low,0,\breport\b,report,"the operator's or aircraft operator's annual emission, tonne-kilometre report, baseline data report or new entrant data report, as appropriate;"
32018R2067,,Article 10,VERIFICATION,article,reportar,low,0,\breport\b,report,"where applicable, the report referred to in Article 69(4) of Implementing Regulation (EU) 2018/2066;"
32018R2067,,Article 10,VERIFICATION,article,reportar,low,0,\breport\b,report,"the verification report from the previous year or the previous baseline period, as appropriate, if the verifier did not carry out the verification for that particular operator or aircraft operator the previous year or baseline period, as appropriate;"
32018R2067,,Article 10,VERIFICATION,article,auditoria,high,0,verification (team|report|body),verification report,"the verification report from the previous year or the previous baseline period, as appropriate, if the verifier did not carry out the verification for that particular operator or aircraft operator the previous year or baseline period, as appropriate;"
32018R2067,,Article 10,VERIFICATION,article,reportar,low,0,\breport\b,report,"where the verification concerns the emission report of an installation carrying out the geological storage of greenhouse gases in a storage site permitted under Directive 2009/31/EC, the monitoring plan required by that Directive and the reports required by Article 14 of that Directive, covering at least the reporting period of the emissions report to be verified;"
32018R2067,,Article 10,VERIFICATION,article,reportar,low,0,\breport\b,report,"2. Before the verifier issues the verification report, the operator or aircraft operator shall provide it with the final authorised and internally validated operator's or aircraft operator's report."
32018R2067,,Article 10,VERIFICATION,article,auditoria,high,0,verification (team|report|body),verification report,"2. Before the verifier issues the verification report, the operator or aircraft operator shall provide it with the final authorised and internally validated operator's or aircraft operator's report."
32018R2067,,Article 11,VERIFICATION,article,auditoria,high,0,verification (team|report|body),verification team,"2. For the purposes of understanding the activities carried out by the installation or the aircraft operator, the verifier shall collect and review the information needed to assess that the verification team is sufficiently competent to carry out the verification, to determine that the time allocation indicated in the contract has been set correctly and to ensure that it is able to conduct the necessary risk analysis. The information shall include at least:"
32018R2067,,Article 11,VERIFICATION,article,reportar,low,0,\breport\b,report,"for the purposes of the verification of the operator's emission report, the category of the installation referred to in Article 19 of Implementing Regulation (EU) 2018/2066 and the activities carried out at that installation;"
32018R2067,,Article 11,VERIFICATION,article,reportar,low,0,\breport\b,report,"for the purposes of the verification of the aircraft operator's emission or tonne- kilometre report, the size and nature of the aircraft operator, the distribution of information in different locations as well as the number and type of flights;"
32018R2067,,Article 13,VERIFICATION,article,reportar,low,0,\breport\b,report,"a data sampling plan setting out the scope and methods of data sampling related to data points underlying the aggregated emissions in the operator or aircraft operator's emission report, the aggregated tonne-kilometre data in the aircraft operator's tonne-kilometre report or the aggregated data relevant for free allocation in the operator's baseline data report or new entrant data report."
32018R2067,,Article 13,VERIFICATION,article,auditoria,low,0,\bassurance\b,assurance,the requirement to deliver a verification opinion with reasonable assurance.
32018R2067,,Article 13,VERIFICATION,article,auditoria,low,0,\bassurance\b,assurance,the requirement to deliver a verification opinion with reasonable assurance;
32018R2067,,Article 13,VERIFICATION,article,reportar,low,0,\breport\b,report,4. The verifier shall set up and implement the verification plan such that the verification risk is reduced to an acceptable level to obtain reasonable assurance that the operator's or aircraft operator's report is free from material misstatements.
32018R2067,,Article 13,VERIFICATION,article,auditoria,low,0,\bassurance\b,assurance,4. The verifier shall set up and implement the verification plan such that the verification risk is reduced to an acceptable level to obtain reasonable assurance that the operator's or aircraft operator's report is free from material misstatements.
32018R2067,,Article 14,VERIFICATION,article,reportar,low,0,\breport\b,report,"For the purposes of point (a) of the second paragraph, the verifier shall track the data flow following the sequence and interaction of the data flow activities from primary source data to the compilation of the operator's or aircraft operator's report."
32018R2067,,Article 16,VERIFICATION,article,reportar,low,0,\breport\b,report,"1. The verifier shall verify the data in the operator's or aircraft operator's report by applying detailed testing of the data, including by tracing the data back to the primary data source, cross-checking data with external data sources, performing reconciliations, checking thresholds regarding appropriate data and carrying out recalculations."
32018R2067,,Article 16,VERIFICATION,article,reportar,low,0,\breport\b,report,"for the purposes of verifying an operator's emission report, the boundaries of an installation;"
32018R2067,,Article 16,VERIFICATION,article,reportar,low,0,\breport\b,report,"for the purposes of verifying an operator's baseline data report or new entrant data report, the boundaries of an installation and its sub-installations;"
32018R2067,,Article 16,VERIFICATION,article,reportar,low,0,\breport\b,report,"for the purposes of verifying an operator's emission report, baseline data report or new entrant data report, the completeness of source streams and emission sources as described in the monitoring plan approved by the competent authority or monitoring methodology plan, as appropriate;"
32018R2067,,Article 16,VERIFICATION,article,reportar,low,0,\breport\b,report,"for the purposes of verifying an aircraft operator's emission report and tonne-kilometre report, the completeness of flights covered by an aviation activity listed in Annex I to Directive 2003/87/EC for which the aircraft operator is responsible as well as the completeness of emission data and tonne-kilometre data respectively;"
32018R2067,,Article 16,VERIFICATION,article,reportar,low,0,\breport\b,report,"for the purposes of verifying an aircraft operator's emission report and tonne-kilometre report, the consistency between reported data and mass and balance documentation;"
32018R2067,,Article 16,VERIFICATION,article,reportar,low,0,\breport\b,report,"for the purposes of verifying an aircraft operator's emission report, the consistency between aggregated fuel consumption and data on fuel purchased or otherwise supplied to the aircraft performing the aviation activity;"
32018R2067,,Article 16,VERIFICATION,article,reportar,low,0,\breport\b,report,the consistency of the aggregated reported data in an operator's or aircraft operator's report with primary source data;
32018R2067,,Article 17,VERIFICATION,article,reportar,low,0,\breport\b,report,"2. For the purposes of verifying the operator's emission report, the verifier shall check the correct application and implementation of the sampling plan referred to in Article 33 of Implementing Regulation (EU) 2018/2066, as approved by the competent authority."
